Inner Track (x),Inner Track (y),Outer Track (x),Outer Track (y),Mid Track (x),Mid track (y)
-14.6871458396336,-43.592289995885,-15.9642889561235,-47.3829239085706,-15.3257173978786,-45.4876069522278
-15.0071484422464,-43.4831633581595,-16.312117872007,-47.2643079979994,-15.6596331571267,-45.3737356780794
-15.3263403305532,-43.3716876783929,-16.6590655766882,-47.1431387808619,-15.9927029536207,-45.2574132296274
-15.6447042612094,-43.2578689787106,-17.0051133274015,-47.0194228029463,-16.3249087943055,-45.1386458908285
-15.9622230355984,-43.1417134078123,-17.3502424299983,-46.893166747622,-16.6562327327984,-45.0174400777172
-16.2788795007606,-43.0232272406396,-17.6944342399572,-46.7643774354779,-16.9866568703589,-44.8938023380588
-16.5946565503197,-42.9024168780377,-18.0376701633909,-46.633061823954,-17.3161633568553,-44.7677393509959
-16.9095371254072,-42.7792888464088,-18.3799316580513,-46.4992270069661,-17.6447343917292,-44.6392579266874
-17.2235042155839,-42.6538497973602,-18.7212002343303,-46.362880214522,-17.9723522249571,-44.5083650059411
-17.5365408597587,-42.5261065073446,-19.0614574562594,-46.2240288123311,-18.2989991580091,-44.3750676598378
-17.8486301471049,-42.396065877294,-19.4006849425054,-46.0826803014066,-18.6246575448052,-44.2393730893503
-18.159755217974,-42.2637349322473,-19.7388643673631,-45.9388423176602,-18.9493097926686,-44.1012886249538
-18.4698992648061,-42.1291208209703,-20.0759774617457,-45.7925226314895,-19.2729383632759,-43.9608217262299
-18.7790455330379,-41.9922308155698,-20.4120060141716,-45.6437291473585,-19.5955257736048,-43.8179799814641
-19.0871773220084,-41.8530723111005,-20.7469318717482,-45.4924699033701,-19.9170545968783,-43.6727711072353
-19.3942779858602,-41.711652825166,-21.0807369411524,-45.3387530708326,-20.2375074635063,-43.5252029479993
-19.7003309344396,-41.567979997512,-21.4134031896083,-45.1825869538174,-20.556867062024,-43.3752834756647
-20.0053196341923,-41.4220615896143,-21.7449126458612,-45.0239799887112,-20.8751161400268,-43.2230207891627
-20.3092276090567,-41.2739054842588,-22.0752474011485,-44.8629407437596,-21.1922375051026,-43.0684231140092
-20.6120384413539,-41.1235196851163,-22.4043896101672,-44.6994779186047,-21.5082140257605,-42.9114988018605
-20.9137357726748,-40.9709123163098,-22.7323214920378,-44.533600343815,-21.8230286323563,-42.7522563300624
-21.2143033047638,-40.8160916219754,-23.059025331265,-44.365316980408,-22.1366643180144,-42.5907043011917
-21.513724800399,-40.6590659658175,-23.3844834786946,-44.1946369193668,-22.4491041395468,-42.4268514425922
-21.8119840842696,-40.4998438306565,-23.708678352467,-44.0215693811484,-22.7603312183683,-42.2607066059025
-22.1090650438498,-40.3384338179709,-24.0315924389672,-43.8461237151858,-23.0703287414085,-42.0922787665783
-22.4049516302688,-40.1748446474322,-24.3532082937705,-43.6683093993828,-23.3790799620197,-41.9215770234075
-22.6996278591784,-40.0090851564343,-24.6735085425852,-43.4881360396025,-23.6865682008818,-41.7486105980184
-22.9930778116159,-39.8411642996158,-24.9924758821912,-43.3056133691476,-23.9927768469035,-41.5733888343817
-23.2852856348645,-39.6710911483762,-25.3100930813745,-43.120751248235,-24.2976893581195,-41.3959211983056
-23.5762355433096,-39.4988748903863,-25.6263429818582,-42.9335596634633,-24.6012892625839,-41.2162172769248
-23.8659118192913,-39.3245248290912,-25.9412084992297,-42.7440487272731,-24.9035601592605,-41.0342867781821
-24.154298813954,-39.1480503832083,-26.2546726238631,-42.5522286774004,-25.2044857189085,-40.8501395303044
-24.4413809480913,-38.9694610862183,-26.5667184218384,-42.3581098763242,-25.5040496849648,-40.6637854812712
-24.7271427129879,-38.7887665858497,-26.8773290358564,-42.1617028107062,-25.8022358744221,-40.4752346982779
-25.0115686712572,-38.6059766435585,-27.1864876861492,-41.9630180908245,-26.0990281787032,-40.2844973671915
-25.2946434576756,-38.4211011340002,-27.4941776713865,-41.7620664500002,-26.394410564531,-40.0915837920002
-25.576351780012,-38.2341500444965,-27.8003823695783,-41.558858744018,-26.6883670747952,-39.8965043942573
-25.8566784198547,-38.045133474496,-28.1050852389725,-41.3534059505392,-26.9808818294136,-39.6992697125176
-26.1356082334327,-37.8540616350283,-28.4082698189486,-41.145719168509,-27.2719390261907,-39.4998904017687
-26.4131261524344,-37.6609448481525,-28.709919730907,-40.9358096175571,-27.5615229416707,-39.2983772328548
-26.6892171848212,-37.4657935463997,-29.0100186791535,-40.7236886373909,-27.8496179319874,-39.0947410918953
-26.9638664156378,-37.2686182722091,-29.3085504517802,-40.5093676871838,-28.136208433709,-38.8889929796965
-27.2370590078175,-37.069429677359,-29.6054989215408,-40.2928583449555,-28.4212789646792,-38.6811440111572
-27.5087802029842,-36.8682385223908,-29.900848046722,-40.0741723069466,-28.7048141248531,-38.4712054146687
-27.7790153222492,-36.6650556760281,-30.1945818720101,-39.8533213869871,-28.9867985971296,-38.2591885315076
-28.0477497670046,-36.4598921145893,-30.4866845293529,-39.6303175158579,-29.2672171481788,-38.0451048152236
-28.3149690197116,-36.2527589213948,-30.777140238817,-39.4051727406465,-29.5460546292643,-37.8289658310207
-28.580658644685,-36.0436672861682,-31.0659333094403,-39.1778992240959,-29.8232959770626,-37.610783255132
-28.844804288873,-35.8326285044318,-31.3530481400793,-38.9485092439476,-30.0989262144761,-37.3905688741897
-29.1073916826323,-35.6196539768964,-31.6384692202525,-38.7170151922787,-30.3729304514424,-37.1683345845875
-29.3684066404995,-35.4047552088454,-31.9221811309777,-38.4834295748319,-30.6452938857386,-36.9440923918387
-29.627835061957,-35.1879438095134,-32.2041685456054,-38.2477650103406,-30.9160018037812,-36.717854409927
-29.8856629321949,-34.9692314914587,-32.4844162306467,-38.0100342298465,-31.1850395814208,-36.4896328606526
-30.1418763228681,-34.7486300699312,-32.7629090465958,-37.7702500760121,-31.4523926847319,-36.2594400729716
-30.3964613928486,-34.5261514622331,-33.0396319487485,-37.5284255024273,-31.7180466707986,-36.0272884823302
-30.6494043889735,-34.3018076870763,-33.3145699880147,-37.2845735729091,-31.9819871884941,-35.7931906299927
-30.9006916467878,-34.0756108639323,-33.5877083117258,-37.038707460796,-32.2441999792568,-35.5571591623641
-31.1503095912823,-33.8475732123777,-33.8590321644373,-36.7908404482366,-32.5046708778598,-35.3192068303071
-31.3982447376276,-33.617707051434,-34.1285268887257,-36.5409859254718,-32.7633858131767,-35.0793464884529
-31.6444836919022,-33.3860247989026,-34.3961779259806,-36.2891573901115,-33.0203308089414,-34.837591094507
-31.8890131518157,-33.1525389706932,-34.6619708171909,-36.0353684464056,-33.2754919845033,-34.5939537085494
-32.1318199074281,-32.9172621801481,-34.9258912037262,-35.7796328045088,-33.5288555555772,-34.3484474923284
-32.3728908418632,-32.6802071373609,-35.1879248281122,-35.5219642797401,-33.7804078349877,-34.1010857085505
-32.6122129320168,-32.4413866484895,-35.4480575348009,-35.2623767918364,-34.0301352334089,-33.851881720163
-32.8497732492609,-32.2008136150648,-35.7062752709357,-35.0008843642009,-34.2780242600983,-33.6008489896329
-33.0855589601414,-31.9585010332933,-35.9625640871102,-34.7375011231449,-34.5240615236258,-33.3480010782191
-33.3195573270721,-31.714461993355,-36.2169101381218,-34.472241297125,-34.768233732597,-33.09335164524
-33.5517557090223,-31.4687096786965,-36.4692996837199,-34.2051192159745,-35.0105276963711,-32.8369144473355
-33.7821415621999,-31.221257365319,-36.7197190893477,-33.9361493101294,-35.2509303257738,-32.5787033377242
-34.0107024407289,-30.9721184210605,-36.9681548268793,-33.6653461098484,-35.4894286338041,-32.3187322654544
